Digi-Key Part Number	Manufacturer	Manufacturer Part Number	Customer Reference	Quantity 1	Quantity 2	Quantity 3
541-1.50KHCT-ND			m_R19	10	10	10
399-3121-1-ND			m_C24/C34	10	10	10
541-1.80KHCT-ND			m_R9	10	10	10
541-1.00KHCT-ND			m_R2/R4/R13/R15/R16/R22	10	20	20
490-4520-1-ND			m_C16	10	10	10
541-3.30KHCT-ND			m_R8	10	10	10
541-3.90KHCT-ND			m_R3	10	10	10
541-0.0GCT-ND			m_R24/R26/R27/R31/R32/R48/R41/R42	10	20	30
541-4.70KHCT-ND			m_R1/R28/R29/R33/R34/R45/R46/R43/R44	10	20	30
587-1442-1-ND			m_C18	10	10	10
541-10.0KHCT-ND			m_R7/R35/R36/R37	10	10	20
PCC1750CT-ND			m_C19	1	2	3
541-680HCT-ND			m_R21	10	10	10
541-560HCT-ND			m_R20	10	10	10
541-27.0KHCT-ND			m_R10	10	10	10
399-1052-1-ND			m_C7/C8/C28/C29	10	10	20
718-1304-1-ND			m_C17	1	2	3
541-33.0HCT-ND			m_R17/R18	10	10	10
587-1125-1-ND			m_C25	10	10	10
399-4719-1-ND			m_C6/C38/C40	3	6	9
541-100HCT-ND			m_R12/R23	10	10	10
399-5089-1-ND			m_C2/C4/C5/C9/C10/C11/C12/C13/C14/C15/C20/C21/C22/C23/C26/C27/C30/C33/C35/C36/C37/C39	30	50	70
478-1724-1-ND			m_C1	1	2	3
541-120KHCT-ND			m_R11	10	10	10
P200KHCT-ND			m_R25/R30/R47	10	10	10
478-3929-1-ND			m_C3	1	2	3
541-348HCT-ND			m_R14	10	10	10
541-390HCT-ND			m_R5	10	10	10
541-12.0KHCT-ND			m_R6	10	10	10
WM1741-ND			m_IMU	1	2	3
WM7620CT-ND			m_MC2/MC3/MC_1/MC_4/PS	5	10	15
WM7621CT-ND			m_RC	1	2	3
WM7623CT-ND			m_UART_1	1	2	3
WM7624CT-ND			m_UART_0	1	2	3
WM7625CT-ND			m_CAM	1	2	3
WM7626CT-ND			m_GPS/SPI_0	2	4	6
AD8552ARUZ-ND			m_U$5	1	2	3
CTX639CT-ND			m_U$4	1	2	3
DDTA143ZCA-FDICT-ND			m_Q1	1	2	3
LM317MDTXFSCT-ND			m_REG6V5A	1	2	3
LM3940IMP-3.3CT-ND			m_REG3V3D	1	2	3
LM4041CIM7-ADJCT-ND			m_U$10	1	2	3
LP2992AIM5-5.0CT-ND			m_REG5VA	1	2	3
568-1765-ND			m_U$1	1	2	3
LTC2485CDD#PBF-ND			m_U$9	1	2	3
H2959CT-ND			m_X5	1	2	3
568-4214-1-ND			m_LT_I2C/U$11	2	4	6
296-20432-ND			m_REG5VD	1	2	3
P11505CT-ND			m_LED1,LED2,LED3,LED4	4	8	12
SW1020CT-ND			m_U$6/U$7/U$14	3	6	9
SW1023CT-ND			m_U$3	1	2	3
296-21265-1-ND			m_U$12/U$13	2	4	6
296-21931-1-ND			m_U$8	1	2	3
24AA256-I/ST-ND			m_IC1	1	2	3
541-0.0GCT-ND			i_R8/R9/R10/R15/xz_R1/yz_R5	10	20	20
490-4520-1-ND			i_C22/C24	10	10	10
587-1442-1-ND			i_C25/C26/C21	10	10	10
541-4.70KHCT-ND			i_R16	10	10	10
541-10.0KHCT-ND			i_R3/R5/R11	10	10	10
PCC1750CT-ND			i_C4/C15	2	4	6
