Digi-Key Part Number	Manufacturer	Manufacturer Part Number	Customer Reference	Quantity 1	Quantity 2	Quantity 3
587-1243-1-ND			C1, C2, C4, C5, C6, C9, C10, C11	10	20	30
587-1992-1-ND			C3	10	10	10
PCC390ACVCT-ND			C7, C8	10	10	10
P833-ND			C13	1	2	3
WM7625CT-ND			CAM1	1	2	3
311-100KHRCT-ND			R11, R12	10	10	10
WM7626CT-ND			SPI_1	1	2	3
LM3480IM3-3.3CT-ND			U1	1	2	3
AD7997BRUZ-1-ND			U2	1	2	3
MAX3100CEE+-ND			U3	1	2	3
296-9423-1-ND			U4	1	2	3
WM7622CT-ND			UART	1	2	3
WM7624CT-ND			UART_1	1	2	3
XC562CT-ND			Y1	1	2	3
